"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
134	25	04	04	11	18	02	53		-33	-39	-47	-41	-37	-33	-24	-20	-17	-15	-11	-12	7	-6									0			-29	-21	-27	-19	-11	-4	-2	0	6	11	11	3	7	20									29			1	-1	1	1	2	4	2	1	4	1	1	4	6	1									-9			1	6	1	1	7	1	-3	2	-2	3	-7	13	-13	-40												44	44	54	45	39	33	24	20	18	19	16	12	10	21									29			228.70	241.70	240.10	245.10	253.40	263.10	265.20	270.00	289.40	306.30	315.00	284.00	45.00	343.30									0.00		
135	25	04	04	11	38	02	53		-42	-36	-37	-42	-32	-24	-14	-17	-1	-8	-13	-8	-19	2	56							214	27			-31	-36	-29	-28	-23	-25	-4	-6	0	-2	1	9	6	16	22							50	-29			2	1	4	2	2	2	3	2	0	2	0	2	0	2	15							-49	2			3	8	-11	0	-5	-1	-3	3	8	8	-1	0	10	-27												52	51	47	50	39	35	15	18	1	8	13	12	20	16	60							220	40			233.60	225.00	231.90	236.30	234.30	223.80	254.10	250.60	270.00	256.00	274.40	318.40	287.50	7.10	68.60							76.80	137.00		
136	25	04	04	11	58	02	53		-33	-35	-35	-33	-31	-31	-26	-21	-17	-13	-15	-7	-12	-14	22							46	-17			-35	-34	-30	-21	-21	-10	-4	-4	7	-3	16	3	31	25	9							-10	30			-1	-1	0	1	1	0	1	-1	-1	0	0	-1	-2	-2	-5							-14	6			-2	-3	-2	-2	0	2	-4	-2	-2	-5	-6	-5	24	6								-71				48	49	46	39	37	33	26	21	18	13	22	8	33	29	24							47	34			223.30	225.80	229.40	237.50	235.90	252.10	261.30	259.20	292.40	257.00	316.80	293.20	338.80	330.80	67.80							102.30	330.50		
137	25	04	04	12	18	02	53		-51	-39	-43	-41	-34	-26	-21	-35	-21	-26	-10	-6	12	4	-19	-142							-32			-25	-28	-22	-14	-8	-2	10	11	14	23	12	13	4	-8	-3	57							56			0	1	0	-1	0	0	0	-1	0	-1	0	0	-1	-2	8	7							-3			10	-6	-5	-3	5	1	3	13	1	-15	-11	-2	7	9	46											57	48	48	43	35	26	23	37	25	35	16	14	13	9	19	153							64			243.90	234.30	242.90	251.10	256.80	265.60	295.50	287.40	303.70	311.50	320.20	335.20	71.60	153.40	261.00	291.90							330.30		
138	25	04	04	12	38	02	53		-46	-36	-30	-29	-25	-26	-17	-7	-7	-10	-11	-9	8	-21	-25						-15	-1	-69			-33	-22	-26	-16	-15	-12	-4	6	12	8	1	6	4	5	-4						14	-20	40			1	2	1	1	1	0	0	-2	-1	-1	-1	-2	0	-3	17						-4	-3	-15			-1	6	-1	-5	-5	5	-4	6	-1	0	-4	9	6	-16												57	42	40	33	29	29	17	9	14	13	11	11	9	22	25						21	20	80			234.30	238.60	229.10	241.10	239.00	245.20	256.80	310.60	329.70	308.70	275.20	303.70	63.40	283.40	260.90						313.00	182.90	300.10		
139	25	04	04	12	58	02	53		-51	-52	-40	-33	-32	-17	-23	-22	-16	-6	-9	-5	6	13	-11						-93		-47			-32	-24	-28	-23	-15	-10	-2	1	2	6	5	14	10	12	59						-3		5			2	4	1	1	3	2	1	1	-5	-2	-1	-1	0	0	3						1		-8			0	-4	-1	7	4	-3	3	-3	-11	10	1	-9	0	-13												60	57	49	40	35	20	23	22	16	8	10	15	12	18	60						93		47			237.90	245.20	235.00	235.10	244.90	239.50	265.00	272.60	277.10	315.00	299.10	340.30	31.00	47.30	349.40						268.20		276.10		
140	25	04	04	13	18	02	53		-43	-57	-39	-30	-34	-24	-21	-11	-7	-9	-3	-3	4	-2	-112							19	1			-27	-17	-19	-8	-5	-2	-2	1	2	12	13	-3	-13	-11	-13							2	17			1	3	1	1	1	0	-3	-3	-5	1	-3	-1	0	5	4							-6	-3			3	-1	-7	8	-3	3	12	-3	-2	8	0	-4	0	18												51	59	43	31	34	24	21	11	7	15	13	4	14	11	113							19	17			237.90	253.40	244.00	255.10	261.60	265.20	264.60	275.20	285.90	323.10	347.00	225.00	162.90	190.30	263.40							84.00	3.40		
141	25	04	04	13	38	02	53		-34	-41	-37	-34	-25	-17	-10	-10	-4	-10	-6	-7	-13	1	-8				39	-13	-10	10	38			-12	-3	7	16	22	25	28	28	23	24	8	22	5	17	-43				26	41	86	1	-47			1	-1	-1	-2	-3	-1	-1	-1	-1	2	-1	6	6	7	5				-12	2	12	-4	7			8	3	4	-4	-6	5	9	-6	14	14	0	-4	3	14					-38							36	41	38	38	33	30	30	30	23	26	10	23	14	17	44				47	43	87	10	60			250.60	265.80	280.70	295.20	311.30	325.80	340.30	340.30	350.10	337.40	323.10	342.30	291.00	3.40	190.50				56.30	342.40	353.40	84.30	141.00		
142	25	04	04	13	58	02	53		-45	-30	-28	-29	-14	-14	-26	-12	6	-3	-9	-8	15	5	28				-1	6	72	38	-34			0	13	15	20	17	24	22	8	13	9	16	17	13	3	2				35	31	34	-51	74			1	0	1	-1	-1	1	1	-2	0	-1	0	0	1	6	15				2	3	-13	-15	-15			-5	10	-8	-1	5	-1	-2	-4	-6	1	2	3	2	0	21											45	33	32	35	22	28	34	14	14	9	18	19	20	6	28				35	32	80	64	81			270.00	293.40	298.20	304.60	320.50	329.70	310.20	303.70	24.80	341.60	330.60	334.80	49.10	59.00	85.90				358.40	11.00	64.70	143.30	335.30		
143	25	04	04	14	18	02	53		-26	-16	-7	-9	1	-2	0	5	-1	10	5	-5	4	-7	103								-58			14	26	37	31	23	20	24	22	14	28	24	19	6	11	-6								55			-3	-3	-1	1	0	2	0	2	1	2	4	2	5	6	15								-18			-6	-2	1	3	-1	7	6	5	-5	-1	-1	-1	-2	-13												30	31	38	32	23	20	24	23	14	30	25	20	7	13	103								80			298.30	328.40	349.30	343.80	2.50	354.30	0.00	12.80	355.90	19.70	11.80	345.30	33.70	327.50	93.30								313.50		
144	25	04	04	14	38	02	53		-14	3	-6	6	6	14	22	1	13	5	13	2	15	-9	-29								-2		45	30	36	27	35	24	22	13	16	19	22	12	23	5	-4	-7								-41		70	0	1	1	-1	-1	0	0	0	0	-2	0	2	-1	2	7								20		30	6	-1	-5	1	5	3	12	1	-4	-1	-2	-8	9	-3	-64											33	36	28	36	25	26	26	16	23	23	18	23	16	10	30								41		83	335.00	4.80	347.50	9.70	14.00	32.50	59.40	3.60	34.40	12.80	47.30	5.00	71.60	246.00	256.40								182.80		32.70
145	25	04	04	14	58	02	53		1	5	18	14	14	15	10	5	9	8	8	3	-9	-5	-2								-39		-68	15	27	21	18	20	9	11	9	14	13	19	4	-2	13	0								-22		145	-1	0	0	0	0	0	1	2	-1	2	-1	0	0	1	7								6		50	1	1	-13	-4	4	5	1	-2	4	4	-2	0	13	-5	-18											15	27	28	23	24	17	15	10	17	15	21	5	9	14	2								45		160	3.80	10.50	40.60	37.90	35.00	59.00	42.30	29.10	32.70	31.60	22.80	36.90	257.50	339.00	270.00								240.60		334.90
146	25	04	04	15	18	02	53		-1	14	23	22	27	17	12	12	8	15	7	-3	11	8	17										-18	5	18	9	16	9	2	10	-4	3	14	4	14	0	-11	-12										71	1	2	1	1	1	0	1	0	1	2	-3	2	-4	-1	4										6	-4	-5	2	4	3	-1	-1	9	10	5	9	2	-5	-14												5	23	25	27	28	17	16	13	9	21	8	14	11	14	21										73	348.70	37.90	68.60	54.00	71.60	83.30	50.20	108.40	69.40	47.00	60.30	347.90	90.00	144.00	125.20										345.80
147	25	04	04	15	38	02	53		12	19	23	27	24	15	14	15	5	6	0	12	-2	3	9									-17	7	-3	2	-6	-3	-5	-2	-14	0	-2	-4	-2	-7	-10	-1	3									30	-88	0	0	0	0	1	4	0	0	1	1	0	-1	-2	0	13									10	-12	8	9	1	1	7	7	3	-2	-1	3	5	13	4	-1	111											12	19	24	27	25	15	20	15	5	7	2	14	10	3	9									34	88	104.00	84.00	104.60	96.30	101.80	97.60	135.00	90.00	111.80	123.70	180.00	120.30	191.30	108.40	71.60									330.50	175.50
148	25	04	04	15	58	02	53		26	14	16	19	6	0	-2	-2	-11	6	10	-3	19	-6	-40									-8	19	-21	-20	-22	-22	-21	-21	-22	-30	-23	-23	-31	-27	-27	-10	-15									136	-67	2	4	3	2	5	4	7	4	6	6	3	-1	-2	-1	5									25	16	8	-1	-3	0	-9	-2	-6	-6	-1	-4	2	-11	-3	14	-48											33	24	27	29	22	21	22	30	25	24	33	27	33	12	43									136	70	128.90	145.00	144.00	139.20	164.10	180.00	185.20	183.80	205.60	165.40	162.10	186.30	144.90	211.00	249.40									356.60	164.20
149	25	04	04	16	18	02	53		16	8	9	17	7	7	4	-7	-7	-18	-7	-10	-5	15	84								-25	-8	29	-33	-36	-38	-46	-38	-38	-36	-31	-38	-37	-28	-35	-29	-34	-12								123	64	-97	2	2	2	2	4	6	3	3	6	4	4	2	2	3	15								-25	19	2	-2	4	-1	-2	-10	8	5	-2	-2	6	11	8	1	-3	-52											37	37	39	49	39	39	36	32	39	41	29	36	29	37	85								126	64	101	154.10	167.50	166.70	159.70	169.60	169.60	173.70	192.70	190.40	205.90	194.00	195.90	189.80	156.20	98.10								348.50	352.90	163.40
150	25	04	04	16	38	02	53		14	21	20	10	7	7	4	-5	-7	-7	-16	-2	-11	3	-21									-16	22	-47	-34	-41	-40	-45	-35	-42	-48	-43	-47	-51	-56	-40	-36	-27									22	-72	2	4	2	5	3	3	3	3	1	2	2	3	1	3	0									14	0	2	-6	7	-3	5	4	3	3	3	1	6	8	9	7	7											49	40	46	41	46	36	42	48	44	48	53	56	41	36	34									27	75	163.40	148.30	154.00	166.00	171.20	168.70	174.60	185.90	189.20	188.50	197.40	182.00	195.40	175.20	217.90									324.00	163.00
151	25	04	04	16	58	02	53		18	9	8	4	-4	-16	-11	-6	-15	-16	-7	-9	-11	-1	-18									-19	-12	-41	-43	-41	-41	-41	-49	-38	-33	-40	-36	-34	-36	-39	-26	-45									-39	-67	3	1	1	1	1	1	2	3	3	5	3	6	5	7	8									-10	-16	-6	-1	0	-4	5	3	8	6	8	0	-5	19	6	-4	68											45	44	42	41	41	52	40	34	43	39	35	37	41	26	48									43	68	156.30	168.20	169.00	174.40	185.60	198.10	196.10	190.30	200.60	204.00	191.60	194.00	195.80	182.20	201.80									206.00	190.20
152	25	04	04	17	18	02	53		4	4	2	-4	-7	-23	-22	-30	-13	-17	-22	-12	-16	-39	-35										-78	-36	-42	-46	-45	-47	-40	-42	-31	-35	-28	-42	-43	-31	-32	65										-124	5	3	3	4	6	7	6	4	6	4	7	4	7	-1	6										-18	0	3	3	3	8	-2	6	1	4	1	1	-9	-11	4												36	42	46	45	48	46	47	43	37	33	47	45	35	50	74										146	173.70	174.60	177.50	185.10	188.50	209.90	207.60	224.10	200.40	211.30	207.60	195.60	207.30	230.60	331.70										212.20
153	25	04	04	17	38	02	53		-3	-11	-5	-8	-4	-15	-20	-19	-13	-20	-25	-18	-28	-22									-95		-161	-58	-53	-50	-48	-49	-52	-52	-45	-41	-50	-40	-43	-45	-51									64		-170	2	2	3	2	2	2	2	2	1	1	2	3	4	-5									-28		-48	-2	6	0	0	-3	0	2	5	8	4	7	14	1	29												58	54	50	49	49	54	56	49	43	54	47	47	53	56									115		234	183.00	191.70	185.70	189.50	184.70	196.10	201.00	202.90	197.60	201.80	212.00	202.70	211.90	203.30									304.00		223.40
154	25	04	04	17	58	02	53		-22	-24	-18	-20	-28	-23	-19	-27	-18	-9	-10	-19	-17	-5										-68	85	-23	-20	-39	-38	-37	-34	-37	-27	-33	-29	-22	-26	-19	-49										44	30	-1	-2	-1	-2	-1	1	0	1	0	-1	2	1	1	3										11	22	-2	-6	1	6	0	-6	-4	2	-10	-5	1	-3	5	-7												32	31	43	43	46	41	42	38	38	30	24	32	25	49										81	90	223.70	230.20	204.80	207.80	217.10	214.10	207.20	225.00	208.60	197.20	204.40	216.20	221.80	185.80										302.90	70.60
155	25	04	04	18	18	02	53		-31	-25	-23	-19	-18	-13	-18	-19	-16	-12	-23	-17	-20	-12									-39		17	-23	-23	-21	-23	-21	-31	-23	-24	-32	-21	-32	-37	-21	13									-39		47	0	0	0	0	0	0	0	1	0	4	3	2	0	2									9		6	10	1	5	6	3	5	2	9	6	-2	-7	8	15	-5												39	34	31	30	28	34	29	31	36	24	39	41	29	18									55		50	233.40	227.40	227.60	219.60	220.60	202.80	218.00	218.40	206.60	209.70	215.70	204.70	223.60	317.30									225.00		19.90
156	25	04	04	18	38	02	53		-46	-32	-23	-18	-22	-26	-28	-18	-14	-21	-17	-12	-17	-10	-105								-5			-51	-45	-41	-46	-38	-47	-33	-43	-33	-37	-37	-42	-53	-40	-215								8			2	1	1	1	1	1	3	1	3	1	3	1	0	0	1								-6			0	-2	-3	11	6	-5	1	-2	1	8	0	2	-9	-3												69	55	47	49	44	54	43	47	36	43	41	44	56	41	239								9			222.00	215.40	209.30	201.40	210.10	209.00	220.30	202.70	203.00	209.60	204.70	195.90	197.80	194.00	206.00								328.00		
157	25	04	04	18	58	02	53		-42	-24	-27	-24	-27	-7	-6	-27	-9	-14	-12	-13	-13	8									15			-42	-33	-40	-47	-40	-40	-41	-40	-40	-35	-46	-39	-36	-30									2			0	0	0	0	0	0	2	2	2	4	3	3	4	8									-2			-9	-6	-2	3	4	2	0	0	0	-1	-5	0	-6	11												59	41	48	53	48	41	41	48	41	38	48	41	38	31									15			225.00	216.00	214.00	207.10	214.00	189.90	188.30	214.00	192.70	201.80	194.60	198.40	199.90	165.10									82.40		
158	25	04	04	19	18	02	53		-37	-28	-23	-13	-15	-12	-7	-8	-14	-9	-9	-3	-4	-7									-16			-43	-44	-40	-37	-39	-37	-33	-37	-39	-40	-40	-40	-42	-44									61			1	0	0	0	0	2	3	1	0	0	1	1	4	-2									-20			2	-3	6	3	2	-5	5	6	9	-3	5	8	7	-7												57	52	46	39	42	39	34	38	41	41	41	40	42	45									63			220.70	212.50	209.90	199.40	201.00	198.00	192.00	192.20	199.70	192.70	192.70	184.30	185.40	189.00									345.30		
159	25	04	04	19	38	02	53		-35	-35	-23	-20	-9	-6	-8	-15	-6	-6	-17	-4	-5	-3									51			-47	-45	-51	-43	-46	-47	-54	-45	-50	-66	-59	-46	-49	-56									42			-2	-1	0	0	2	2	0	3	2	3	0	2	4	4									-20			-3	-8	9	5	-2	-1	8	7	3	2	8	0	4	-31												59	57	56	47	47	47	55	47	50	66	61	46	49	56									66			216.70	217.90	204.30	204.90	191.10	187.30	188.40	198.40	186.80	185.20	196.10	185.00	185.80	183.10									50.50		
160	25	04	04	19	58	02	53		-40	-30	-25	-19	-8	-15	-9	-5	-1	-3	-6	-7	-1	-12									-1			-66	-60	-56	-64	-71	-66	-62	-67	-70	-70	-67	-63	-70	-75									2			2	2	4	2	2	2	3	2	0	2	2	2	2	-5									7			-7	4	5	5	2	2	8	7	5	-3	2	4	1	-24												77	67	61	67	71	68	63	67	70	70	67	63	70	76									2			211.20	206.60	204.10	196.50	186.40	192.80	188.30	184.30	180.80	182.50	185.10	186.30	180.80	189.10									333.40		
161	25	04	04	20	18	02	53		-36	-28	-30	-22	-15	-17	-12	-6	-13	-5	-13	-11	-5	-5									-38			-54	-46	-63	-61	-68	-69	-69	-67	-72	-70	-78	-70	-74	-56									35			2	1	1	3	-1	-1	0	1	1	1	2	1	5	-4									-6			-6	-6	1	3	2	4	6	12	4	11	3	-13	13	-123												65	54	70	65	70	71	70	67	73	70	79	71	74	56									52			213.70	211.30	205.50	199.80	192.40	193.80	189.90	185.10	190.20	184.10	189.50	188.90	183.90	185.10									312.60		
162	25	04	04	20	38	02	53		-10	-12	-15	-16	-23	-18	-13	-26	-15	-22	-16	-20	-9	-5									-19			-70	-75	-67	-65	-61	-51	-67	-60	-61	-67	-71	-61	-90	-61									4			0	-1	-1	-1	-2	-3	-5	-2	0	-1	2	2	0	4									-3			-5	1	9	2	4	2	1	2	1	7	1	-3	14	-9												71	76	69	67	65	54	68	65	63	71	73	64	90	61									19			188.10	189.10	192.60	193.80	200.70	199.40	191.00	203.40	193.80	198.20	192.70	198.20	185.70	184.70									281.90		
163	25	04	04	20	58	02	53		-3	-3	-18	-13	-18	-14	-17	-19	-2	-11	-12	-8	-16	-43									-31			-77	-68	-70	-70	-68	-72	-70	-71	-70	-70	-70	-65	-71	-85									30			1	1	1	1	1	3	4	4	3	3	3	3	3	-4									-13			-2	0	-1	5	-1	3	11	9	-2	1	9	5	8	31												77	68	72	71	70	73	72	73	70	71	71	65	73	95									43			182.20	182.50	194.40	190.50	194.80	191.00	193.70	195.00	181.60	188.90	189.70	187.00	192.70	206.80									314.10		
164	25	04	04	21	18	02	53		-4	-6	-2	-6	-15	-18	-15	-10	-18	-21	-17	-27	-23	-27									-61			-66	-46	-47	-47	-42	-38	-44	-49	-48	-46	-52	-68	-49	-202									46			2	2	2	2	3	2	2	2	2	4	4	2	0	15									-10			0	4	10	7	5	4	-1	2	5	12	-3	7	9													66	46	47	47	45	42	46	50	51	51	55	73	54	204									76			183.50	187.40	182.40	187.30	199.70	205.30	198.80	191.50	200.60	204.50	198.10	201.70	205.10	187.60									307.00		
165	25	04	04	21	38	02	53		8	8	-4	-6	3	1	-2	-11	-14	-5	-20	-13	-10	-29									-16			-50	-42	-27	-32	-33	-31	-25	-26	-30	-26	-31	-28	-23	-65									55			1	0	1	3	0	1	1	0	1	1	4	2	1	-6									6			2	1	1	-4	0	1	0	-1	2	-1	1	8	-9													51	43	27	33	33	31	25	28	33	26	37	31	25	71									57			170.90	169.20	188.40	190.60	174.80	178.20	184.60	202.90	205.00	190.90	212.80	204.90	203.50	204.00									343.80		
166	25	04	04	21	58	02	53		-5	5	13	3	0	-4	-11	-13	-7	-26	-23	-31	-17	-30									-27			-51	-52	-49	-37	-43	-33	-30	-31	-31	-37	-30	-23	-31	-20									60			1	2	-1	5	2	1	5	4	3	3	3	3	1	1									6			4	12	1	-13	-5	-3	4	0	-4	-1	-7	4	0													51	52	51	37	43	33	32	34	32	45	38	39	35	36									66			185.60	174.50	165.10	175.40	180.00	186.90	200.10	202.80	192.70	215.10	217.50	233.40	208.70	236.30									335.80		
167	25	04	04	22	18	02	53		4	5	-3	-4	-2	-6	-1	-8	-2	-11	-14	-7	-17	4									-20			-39	-46	-34	-32	-26	-25	-10	-13	-8	-9	-9	-10	-15	-26									49			-1	2	1	1	1	0	2	2	2	2	0	5	0	-4									9			2	5	4	1	3	0	-5	5	-4	0	0	-9	5	-18												39	46	34	32	26	26	10	15	8	14	17	12	23	26									53			174.10	173.80	185.00	187.10	184.40	193.50	185.70	211.60	194.00	230.70	237.30	215.00	228.60	171.30									337.80		
168	25	04	04	22	38	02	53		2	0	2	1	-7	5	-2	-5	-4	-12	-23	-9	-14	-15			11						0			-25	-11	-12	-2	-1	15	9	18	16	16	30	18	37	26			90						41			1	1	1	1	2	3	1	1	3	3	4	3	3	4			-5						6			-2	5	-6	-9	1	5	11	-2	-12	0	2	-1	1	36												25	11	12	2	7	16	9	19	16	20	38	20	40	30			91						41			175.40	180.00	170.50	153.40	261.90	18.40	347.50	344.50	346.00	323.10	322.50	333.40	339.30	330.00			7.00						0.00		
169	25	04	04	22	58	02	53		-4	-8	1	-9	-5	-3	-5	2	-7	-1	-9	-13	-25	-27									-36			-19	-19	-13	-16	-9	-11	6	13	-3	-1	13	8	22	23									70			1	0	1	1	3	2	0	2	-1	4	3	3	4	7									-14			4	-4	1	-1	0	1	0	-2	-4	0	-1	-7	5	55												19	21	13	18	10	11	8	13	8	1	16	15	33	35									79			191.90	202.80	175.60	209.40	209.10	195.30	320.20	8.70	246.80	225.00	325.30	301.60	311.30	310.40									332.80		
170	25	04	04	23	18	02	53		-6	3	7	4	-9	-5	-4	7	-5	-12	-22	-33	-20	-50									-4			-26	-20	-19	-13	-13	-6	-8	-7	7	-1	18	3	45	49									13			2	2	1	3	3	2	1	0	-3	1	2	3	1	-14									-7			-6	-7	-6	-7	-3	1	5	-8	-7	9	-5	-6	1													27	20	20	14	16	8	9	10	9	12	28	33	49	70									14			193.00	171.50	159.80	162.90	214.70	219.80	206.60	135.00	324.50	265.20	309.30	275.20	336.00	314.40									342.90		
171	25	04	04	23	38	02	53		-1	-4	6	-5	4	3	0	-3	4	-1	-9	-10	-17	35	276								-33			-18	-11	1	-4	-3	13	12	9	9	14	27	26	28	-11	49								25			-1	1	-1	0	0	0	-1	0	-1	-1	0	1	-1	-5	-24								-9			3	10	-4	-3	4	1	6	0	-6	5	3	-1	3													18	12	6	6	5	13	12	9	10	14	28	28	33	37	280								41			183.20	200.00	80.50	231.30	126.90	13.00	0.00	341.60	24.00	355.90	341.60	339.00	328.70	107.40	79.90								307.10		
172	25	04	04	23	58	02	53		-7	-4	-7	-3	0	-3	9	-1	-4	-6	-2	-4	-2	-30									-52			-19	-20	-10	-18	-8	-4	6	-4	4	5	0	17	28	39									13			-2	0	0	2	0	0	0	1	0	3	1	0	-3	-11									-11			-1	10	1	-1	-1	-5	1	-11	3	6	0	9	-1	17												20	20	12	18	8	5	11	4	6	8	2	17	28	49									54			200.20	191.30	215.00	189.50	180.00	216.90	56.30	194.00	315.00	309.80	270.00	346.80	355.90	322.40									284.00		
173	25	04	05	00	18	02	53		-9	-5	-5	-8	-5	-4	2	5	0	-13	-7	-1	10	-9									-32			-35	-36	-15	-9	-17	-8	-6	-5	2	-8	-2	24	3	-1									65			0	0	2	-2	0	0	1	0	0	1	0	-4	0	5									-21			3	6	-6	1	1	9	7	3	0	-1	1	7	-1	-128												36	36	16	12	18	9	6	7	2	15	7	24	10	9									72			194.40	187.90	198.40	221.60	196.40	206.60	161.60	135.00	0.00	238.40	254.10	357.60	73.30	263.70									333.80		
174	25	04	05	00	38	02	53		-10	-15	1	-6	-10	-4	-2	-2	2	-1	-4	-1	2	4									-72			-43	-43	-20	-17	-13	-7	-2	3	6	6	7	20	26	48									130			0	0	-2	0	1	-2	0	0	0	2	2	-3	2	-3									-37			2	2	1	-2	7	5	4	4	0	3	-7	3	-4	-7												44	46	20	18	16	8	3	4	6	6	8	20	26	48									149			193.10	199.20	177.10	199.40	217.60	209.70	225.00	326.30	18.40	350.50	330.30	357.10	4.40	4.80									331.00		
175	25	04	05	00	58	02	53		-16	-9	-2	-16	-12	-10	-3	1	-4	-1	-7	-11	7	-11									-27			-36	-30	-17	-11	-20	-18	-11	0	4	7	3	-2	11	68									20			-1	0	-1	2	0	3	4	0	0	0	3	0	2	6									-14			2	5	8	-5	-4	1	2	0	2	7	1	3	-16	6												39	31	17	19	23	21	11	1	6	7	8	11	13	69									34			204.00	196.70	186.70	235.50	211.00	209.10	195.30	90.00	315.00	351.90	293.20	259.70	32.50	350.80									306.50		
176	25	04	05	01	18	02	53		-20	-12	5	-8	-1	-1	-1	-8	-2	-6	3	-21	6	62									-10			-17	-8	-1	-8	-5	-1	-1	1	12	8	18	29	34	55									-16			-1	0	0	0	0	0	1	0	0	1	1	3	-3	2									13			0	10	4	-7	-7	0	5	-3	0	6	-5	-14	-7	-13												26	14	5	11	5	1	1	8	12	10	18	36	35	83									19			229.60	236.30	101.30	225.00	191.30	225.00	225.00	277.10	350.50	323.10	9.50	324.10	10.00	48.40									212.00		
177	25	04	05	01	38	02	53		-27	-22	-18	-21	-14	-1	1	12	9	0	6	-1	18	5									-2			-17	-4	-8	-6	-8	8	1	7	10	14	23	17	28	26									21			0	0	-1	1	0	1	0	0	1	0	2	3	-2	3									4			-1	0	0	1	0	-3	3	2	0	0	2	-1	-6	19												32	22	20	22	16	8	1	14	13	14	24	17	33	26									21			237.80	259.70	246.00	254.10	240.30	352.90	45.00	59.70	42.00	0.00	14.60	356.60	32.70	10.90									354.60		
178	25	04	05	01	58	02	53		-31	-22	-6	-7	-11	0	5	8	13	-2	12	12	31	21									32			-14	-14	-3	13	3	12	10	22	23	18	24	12	40	30									59			0	0	-2	1	0	2	2	1	3	1	3	2	4	-2									-28			-5	1	3	0	-4	-1	3	0	4	6	13	3	11	-22												34	26	7	15	11	12	11	23	26	18	27	17	51	37									67			245.70	237.50	243.40	331.70	285.30	0.00	26.60	20.00	29.50	353.70	26.60	45.00	37.80	35.00									28.50		
179	25	04	05	02	18	02	53		-21	-16	-14	3	-3	-3	13	5	14	7	14	7	2	21									-21			6	0	7	29	30	26	26	37	48	35	40	31	46	67									15			1	0	0	0	0	0	1	2	0	1	0	-2	-2	-6									-7			-1	-9	-11	4	6	-2	4	4	8	11	-5	1	-8	-30												22	16	16	29	30	26	29	37	50	36	42	32	46	70									26			285.90	270.00	296.60	5.90	354.30	353.40	26.60	7.70	16.30	11.30	19.30	12.70	2.50	17.40									305.50		
180	25	04	05	02	38	02	53		-24	-23	-21	-10	1	4	7	7	13	10	5	11	20	32								-97	-28			1	18	15	17	24	22	21	31	19	38	41	30	29	23								-159	-29			0	0	-1	0	2	0	0	0	0	1	0	-6	-1	-2								-1	-2			-2	3	-2	-1	7	-8	-1	-14	1	-12	19	2	12	12												24	29	26	20	24	22	22	32	23	39	41	32	35	39								186	40			272.40	308.00	305.50	329.50	2.40	10.30	18.40	12.70	34.40	14.70	7.00	20.10	34.60	54.30								211.40	224.00		
181	25	04	05	02	58	02	53		-21	-12	-8	-1	1	-2	11	8	18	20	19	12	47	12											2	10	1	-1	6	15	17	24	18	19	32	27	41	38	13											88	1	1	1	0	2	2	1	1	1	0	0	-3	1	-5											1	2	2	6	1	0	-3	-8	3	3	-13	-13	-6	-2	16												23	12	8	6	15	17	26	20	26	38	33	43	60	18											88	295.50	274.80	262.90	350.50	3.80	353.30	24.60	24.00	43.50	32.00	35.10	16.30	51.00	42.70											1.30
